min_deg,max_deg,number_component,number_articul,numbertriangle,clique_number,max_independent_set,distribution
1,19,1,1,665,13,4,1
5,20,1,0,854,15,3,1
1,21,2,1,1183,19,4,0
2,19,1,0,718,14,4,1
1,20,1,2,988,16,4,0
1,16,1,1,515,14,4,1
0,20,2,0,769,14,4,0
1,19,1,2,859,15,4,0
0,18,2,0,796,16,5,0
4,19,1,0,795,15,4,1
0,16,3,0,459,12,5,0
8,20,1,0,569,12,3,1
0,16,4,0,468,13,6,0
0,18,3,0,484,11,5,0
3,19,1,0,788,16,3,0
0,22,2,0,964,14,3,1
0,18,2,1,594,13,5,0
3,19,1,0,655,13,3,0
1,19,1,1,771,17,4,1
4,20,1,0,987,16,3,1
6,21,1,0,902,16,3,1
4,21,1,0,927,14,3,1
0,23,2,0,1344,18,3,1
7,22,1,0,859,15,3,1
0,20,2,0,975,16,4,0
6,23,1,0,1349,18,2,1
2,19,1,1,744,14,4,1
1,22,1,1,1166,19,3,0
3,20,1,0,783,13,3,1
0,19,3,0,647,13,5,1
6,20,1,0,678,12,3,1
1,18,1,1,589,14,4,1
3,22,1,0,922,15,3,1
7,21,1,0,898,14,3,1
0,19,2,0,649,13,5,1
1,18,1,1,601,12,4,0
0,19,2,2,770,16,5,0
2,17,1,0,664,16,4,1
5,19,1,0,789,14,3,1
0,22,2,0,1073,16,3,0
5,21,1,0,1057,17,3,0
4,17,1,0,517,12,4,1
0,18,2,0,656,13,4,0
3,19,1,0,834,15,4,0
0,22,2,0,1351,17,4,0
0,19,2,0,712,14,4,0
0,19,2,0,706,14,4,0
6,19,1,0,815,14,3,1
0,19,2,2,783,16,5,0
2,16,1,0,362,10,4,1
2,20,2,0,1140,19,3,0
0,19,2,2,559,13,5,0
9,21,1,0,919,13,3,1
0,19,2,0,810,16,4,0
2,21,1,0,691,14,3,1
0,18,2,2,591,13,5,0
3,21,1,0,791,14,3,1
0,23,2,0,1588,20,3,0
1,21,1,2,1161,18,4,0
2,19,1,0,777,15,4,0
2,21,1,0,885,17,3,0
2,20,1,0,763,14,4,1
5,18,1,0,682,13,3,1
2,17,1,1,397,11,4,0
3,17,1,0,607,13,4,0
0,18,2,0,543,14,5,0
0,18,2,0,634,15,5,0
0,20,2,0,908,16,4,0
4,21,1,0,897,17,3,1
1,20,3,0,868,15,4,1
8,20,1,0,784,13,3,1
4,17,1,0,563,13,4,0
8,22,1,0,1058,16,3,1
0,17,2,0,512,12,5,0
3,22,1,0,1021,18,4,1
5,21,1,0,943,15,3,1
0,20,2,0,893,16,4,0
0,23,2,0,1219,18,3,1
0,17,2,0,521,12,5,0
6,21,1,0,1124,18,3,1
3,21,1,0,992,16,3,0
2,18,1,1,611,13,4,1
6,22,1,0,936,15,3,0
9,21,1,0,773,13,3,1
4,21,1,0,757,13,3,1
3,18,1,0,691,13,3,1
1,20,2,0,989,17,4,0
0,16,2,2,501,13,6,0
2,16,1,0,463,12,4,1
1,21,1,1,824,16,4,0
0,20,3,0,882,16,5,0
5,18,1,0,549,11,4,1
3,19,1,1,927,16,4,0
1,16,2,3,477,12,6,0
0,19,2,2,742,15,5,0
6,20,1,0,782,14,3,1
0,21,2,0,934,16,4,0
8,23,1,0,1331,20,3,1
1,17,1,1,545,12,5,0
5,19,1,0,731,14,3,0
1,18,1,1,579,12,4,1
2,22,1,0,1022,15,3,1
1,16,2,0,471,13,5,0
7,16,1,0,517,12,3,1
0,21,3,0,1131,17,4,0
4,18,1,0,645,14,4,1
7,20,1,0,891,15,3,1
3,21,1,0,870,15,4,1
1,19,1,1,726,14,4,0
1,20,2,0,1058,17,4,0
6,19,1,0,480,12,4,1
3,19,1,0,793,15,4,1
0,21,2,0,743,14,4,0
1,20,1,2,726,13,4,1
10,22,1,0,1127,16,3,1
1,20,1,2,848,15,4,1
0,23,2,0,1050,17,3,0
5,19,1,0,643,15,3,0
2,19,1,0,812,16,4,0
0,13,2,2,287,10,6,0
4,20,1,0,883,16,3,1
4,20,1,0,815,16,3,0
4,19,1,0,862,16,3,1
3,22,1,0,1161,17,3,0
1,18,1,2,638,13,5,0
1,17,1,1,557,13,5,0
0,17,2,1,460,12,5,0
1,19,1,1,599,14,4,0
1,19,1,1,669,15,4,1
0,20,2,0,832,15,4,1
0,21,2,0,990,14,4,1
4,22,1,0,1072,17,3,1
0,16,2,2,454,13,6,0
9,23,1,0,1088,15,3,1
1,17,1,1,492,11,4,1
1,20,1,2,893,15,4,1
2,16,1,0,461,11,4,1
0,20,2,0,684,12,4,1
1,21,1,1,916,16,3,0
2,22,1,0,1154,16,3,0
5,21,1,0,940,14,3,0
4,18,1,0,539,12,4,1
1,20,1,1,634,14,4,0
1,21,1,2,1147,19,4,0
0,20,2,0,834,16,4,1
6,17,1,0,513,11,3,1
0,20,2,0,647,13,4,1
2,17,1,0,602,13,4,1
2,18,1,1,633,13,4,0
2,20,1,2,637,15,4,0
0,17,2,0,427,11,5,1
5,19,1,0,728,12,3,1
6,23,1,0,1447,18,3,1
0,18,3,0,435,13,5,0
0,20,2,1,828,14,4,1
0,18,2,0,821,16,5,0
0,19,3,0,679,13,5,0
2,16,1,2,526,14,4,0
0,16,2,0,523,13,5,0
5,22,1,0,1066,15,3,1
3,18,1,0,587,12,4,1
5,18,1,0,591,12,3,1
1,20,1,2,920,16,3,0
1,20,1,2,971,16,4,0
5,21,1,0,990,16,3,1
0,21,2,0,874,14,4,1
1,14,1,2,398,13,5,0
8,23,1,0,1226,17,3,1
3,20,1,0,677,13,4,1
3,18,1,0,449,11,4,1
2,20,1,0,847,15,4,1
5,21,1,0,1099,17,3,1
3,21,1,0,1162,17,3,1
4,19,1,0,787,15,4,1
5,18,1,0,646,14,3,0
1,20,2,0,733,14,4,1
3,19,1,0,839,15,4,1
0,18,4,0,729,16,6,0
0,19,2,1,793,15,5,0
4,20,1,0,745,13,3,1
2,18,1,0,673,14,4,1
1,18,1,2,642,16,5,0
3,19,1,0,711,14,4,1
0,22,2,0,1025,15,4,0
0,18,2,3,677,14,6,0
0,19,3,0,753,14,5,0
0,20,2,1,919,16,5,0
3,19,1,0,598,13,3,1
8,21,1,0,992,16,3,1
2,19,1,0,630,12,4,1
1,19,1,1,605,14,4,1
0,18,2,0,657,14,4,1
9,23,1,0,1245,17,3,1
1,20,1,1,959,16,4,1
7,22,1,0,944,16,3,1
6,21,1,0,796,14,3,0
1,16,1,1,398,11,4,1
2,18,1,0,677,13,4,0
0,22,2,0,1106,17,4,1
0,20,2,0,931,15,4,0
0,19,3,0,611,14,5,0
0,20,2,1,789,14,5,0
2,19,1,0,579,12,4,1
2,21,1,0,843,14,3,1
2,19,1,0,632,12,3,1
3,20,1,0,857,15,3,1
3,22,1,0,1065,16,3,0
1,17,1,1,421,12,5,1
1,19,1,2,929,17,5,0
3,19,1,0,834,15,3,0
1,14,2,0,357,12,5,0
2,19,1,0,538,13,4,1
2,19,1,0,659,12,4,0
6,18,1,0,709,14,3,1
6,20,1,0,612,12,3,1
0,21,3,1,1217,18,5,0
3,18,1,0,665,13,4,1
2,17,1,1,394,10,4,0
5,17,1,0,458,11,4,1
7,20,1,0,664,11,3,1
1,20,1,2,770,15,4,0
1,18,1,1,705,15,4,1
4,21,1,0,742,13,4,1
3,18,1,0,597,12,4,1
4,17,1,0,488,12,4,0
4,18,1,0,714,15,3,1
3,19,1,0,934,17,4,0
3,22,1,0,1148,16,3,0
4,20,1,0,731,13,3,0
0,19,2,2,833,14,5,0
3,18,1,0,537,13,4,1
0,20,3,0,777,14,5,0
0,21,2,0,561,12,4,1
0,19,2,0,792,17,4,0
4,16,1,0,457,12,4,0
0,20,2,0,832,15,4,0
2,15,1,0,395,11,4,0
4,20,1,0,1033,18,3,0
0,14,2,0,302,11,6,0
4,16,1,0,417,10,4,0
3,19,1,0,544,11,4,1
2,22,1,0,1439,18,3,1
0,18,2,0,628,14,4,1
4,19,1,0,798,15,3,0
0,22,2,0,1193,17,4,1
2,18,1,2,814,17,4,0
2,19,1,0,758,16,4,0
3,18,1,0,523,11,4,1
0,20,2,0,904,15,4,1
4,19,1,0,727,15,3,1
0,20,2,0,823,15,4,0
8,22,1,0,1039,14,3,1
5,18,1,0,572,12,3,1
2,21,1,0,1013,15,3,0
6,21,1,0,846,15,3,1
4,20,1,0,898,15,3,1
0,19,3,0,855,16,5,0
1,17,1,1,586,14,4,1
10,19,1,0,628,11,3,1
1,20,1,1,900,16,4,0
0,19,2,0,778,15,4,0
2,19,1,0,686,12,4,0
0,18,2,1,700,15,5,0
2,19,1,0,830,16,4,1
2,20,1,0,795,14,4,1
0,17,2,0,537,13,5,1
1,19,1,1,733,15,4,0
1,19,1,1,804,15,4,0
0,21,2,0,948,14,4,0
0,19,2,0,607,13,4,0
0,16,2,0,434,12,4,1
5,20,1,0,808,15,3,1
8,19,1,0,703,12,3,1
1,19,1,1,714,13,4,0
1,20,1,1,871,15,4,0
0,16,2,0,502,13,5,0
0,22,2,0,1368,19,4,0
1,18,1,1,703,15,4,0
2,19,1,0,850,15,4,1
0,17,2,3,674,15,5,0
3,23,1,0,928,15,3,1
2,17,1,0,490,11,4,0
4,20,1,0,979,15,3,1
0,20,2,1,730,14,5,0
0,18,2,0,597,13,5,0
4,20,1,0,869,14,3,1
2,22,1,0,1190,18,3,1
0,16,2,1,545,13,6,0
5,19,1,0,640,13,3,1
1,20,2,0,933,17,4,0
1,20,1,2,842,16,4,1
5,18,1,0,565,11,3,1
0,22,2,0,1099,17,4,0
3,21,1,0,974,14,3,1
0,19,2,0,604,12,4,1
7,22,1,0,1092,15,3,1
0,17,2,1,454,12,5,0
3,20,1,0,856,16,4,1
1,18,1,3,594,13,5,0
4,17,1,0,476,11,4,1
0,23,2,0,1323,17,3,0
2,19,1,0,672,14,3,0
9,22,1,0,839,13,3,1
8,18,1,0,598,12,3,1
2,21,1,0,1056,17,3,0
3,19,1,0,753,14,4,0
1,20,1,1,893,17,4,0
1,19,1,1,682,15,4,1
2,20,1,1,853,14,3,1
2,21,1,0,1039,17,3,0
8,20,1,0,641,12,3,1
1,20,1,1,676,13,4,0
1,21,1,1,819,15,4,1
3,18,1,0,573,13,4,1
9,19,1,0,611,11,3,1
6,21,1,0,968,16,3,1
5,17,1,0,444,11,4,1
1,20,1,1,719,13,4,0
5,18,1,0,581,13,3,1
5,21,1,0,898,15,3,1
3,18,1,0,618,13,4,1
0,20,2,0,933,16,4,1
7,19,1,0,667,12,3,1
2,17,1,0,523,13,4,1
0,20,2,0,1011,17,4,1
0,19,2,2,896,16,5,0
11,23,1,0,948,13,2,1
8,20,1,0,614,13,3,1
0,23,2,0,1510,20,3,1
0,20,3,0,1059,17,5,0
3,21,1,0,882,14,3,1
1,21,1,1,956,14,4,1
0,20,2,1,928,17,5,0
4,19,1,0,880,16,3,0
3,20,1,0,716,12,3,1
1,19,2,0,837,16,4,0
0,18,2,0,757,16,4,0
0,19,3,0,855,16,5,0
6,17,1,0,570,11,3,1
0,16,2,0,435,13,5,0
0,19,2,2,645,13,5,0
4,18,1,0,614,13,4,1
4,17,1,0,594,14,4,0
1,19,1,1,810,15,4,0
0,19,2,1,900,16,5,0
1,20,1,1,816,14,4,0
2,20,1,0,736,14,4,1
1,18,1,2,627,12,4,0
1,20,2,0,832,15,4,0
0,18,3,0,506,12,5,0
3,18,1,0,549,11,4,1
3,21,1,0,878,15,3,1
1,21,1,1,1030,17,4,1
1,18,1,1,676,14,4,1
3,20,1,0,877,15,3,0
1,16,1,2,447,12,5,0
0,18,2,0,621,11,4,1
3,21,1,0,1003,16,3,0
2,21,2,0,1025,17,3,0
4,22,1,0,1221,18,3,1
8,19,1,0,562,11,3,1
1,17,1,1,491,12,4,1
1,19,1,1,900,17,4,0
4,21,1,0,957,16,3,0
1,20,1,2,735,15,4,1
2,18,1,0,722,14,4,1
0,19,2,1,733,15,5,0
3,18,1,0,625,13,4,1
0,18,2,1,506,12,5,0
0,19,2,0,585,12,4,1
4,17,1,0,500,12,4,1
2,19,1,0,659,14,4,1
2,16,1,0,459,10,4,0
1,21,1,1,865,13,3,1
2,18,1,0,650,14,4,1
6,18,1,0,572,11,3,1
0,21,3,0,944,15,4,0
3,18,1,0,617,13,4,1
3,22,1,0,1001,15,3,1
4,17,1,0,530,11,4,1
1,18,1,1,725,14,4,0
3,22,1,0,1300,18,3,1
3,18,1,0,610,13,4,1
3,22,1,0,1160,16,3,1
2,20,1,0,621,13,4,1
2,21,1,0,1270,18,3,1
7,18,1,0,579,12,3,1
7,20,1,0,933,16,3,1
0,18,2,0,663,14,5,1
5,21,1,0,791,13,3,0
0,16,2,0,459,13,5,0
1,17,1,1,549,13,4,0
4,21,1,0,999,15,3,1
2,17,1,0,475,11,4,0
1,19,1,1,520,13,4,1
2,21,1,0,1149,17,3,1
5,17,1,0,487,10,3,1
5,21,1,0,947,14,3,1
0,21,2,0,812,14,4,1
4,17,1,0,556,12,4,1
0,19,2,1,739,14,5,0
7,20,1,0,788,13,3,1
2,17,2,0,562,14,5,0
6,23,1,0,1668,20,3,1
4,18,1,0,552,12,4,1
2,20,1,2,884,16,4,1
0,20,2,1,974,17,5,0
3,20,1,0,720,14,3,1
2,19,1,0,689,13,4,1
0,19,2,0,707,15,4,0
0,20,2,1,931,16,5,0
1,17,1,1,504,13,5,0
1,20,1,2,775,14,4,0
1,18,1,1,679,14,4,0
2,16,1,2,521,13,4,0
0,18,2,0,637,13,4,1
7,20,1,0,787,14,3,1
2,20,1,0,906,15,4,0
4,20,1,0,826,15,3,1
0,20,3,0,835,15,5,0
5,18,1,0,602,12,3,0
2,18,1,0,521,12,4,1
1,21,1,1,993,17,3,0
5,16,1,0,511,11,4,1
11,23,1,0,1297,17,2,0
1,19,1,1,628,15,4,0
3,19,1,0,731,13,4,1
2,19,1,1,668,13,4,0
1,21,1,2,1117,18,4,0
1,23,1,1,1510,19,3,1
0,19,2,0,810,15,4,0
0,19,3,1,571,14,6,0
2,18,1,1,610,13,5,1
3,20,1,0,783,16,3,1
0,18,2,0,755,15,4,1
2,20,1,0,711,15,4,1
4,15,1,0,408,12,4,1
9,22,1,0,683,14,3,0
1,19,1,1,792,13,4,1
5,16,1,0,502,12,3,1
2,21,1,0,1127,17,3,0
9,21,1,0,699,13,3,1
6,20,1,0,787,14,3,0
4,18,1,0,577,11,3,1
2,19,1,0,614,12,4,0
5,18,1,0,572,13,3,1
0,18,2,1,458,13,5,0
0,22,2,0,849,14,3,0
5,22,1,0,1137,17,3,1
6,21,1,0,1017,15,3,1
4,22,1,0,1462,19,3,0
4,19,1,0,625,11,3,1
0,20,2,0,650,13,4,0
5,23,1,0,1158,15,3,1
2,20,1,0,785,14,3,1
7,20,1,0,733,12,3,1
0,18,3,0,696,14,5,0
7,19,1,0,569,12,3,1
0,21,4,0,672,13,5,1
0,19,2,0,756,15,5,0
1,22,1,1,1097,15,3,1
0,21,2,0,1121,16,4,1
1,19,1,1,698,13,4,1
0,19,4,0,799,15,5,0
7,20,1,0,750,14,3,1
1,22,1,1,944,15,3,1
0,19,2,1,822,16,5,0
0,16,5,2,419,12,8,0
4,15,1,0,391,11,4,1
0,16,2,1,468,12,5,0
3,18,1,0,707,14,4,0
8,19,1,0,780,13,3,1
0,20,2,0,943,15,4,0
10,23,1,0,1096,16,2,1
1,19,1,1,765,13,4,0
7,21,1,0,750,14,3,1
9,23,1,0,1021,15,3,0
1,15,2,0,348,10,4,0
0,21,2,0,997,17,4,0
2,20,1,0,855,17,4,0
1,20,1,1,757,14,4,0
6,23,1,0,1333,18,3,0
0,20,2,0,731,13,4,1
1,18,1,1,470,13,4,0
0,21,2,0,1125,18,4,0
3,22,1,0,1172,17,3,0
0,19,2,0,823,16,4,1
2,17,1,0,569,14,4,0
4,19,1,0,598,11,3,1
0,19,2,0,654,13,4,0
5,18,1,0,570,12,3,1
5,22,1,0,1093,16,3,1
1,21,1,2,1227,18,4,0
7,21,1,0,742,12,3,1
3,15,1,0,450,12,4,1
10,23,1,0,1097,16,3,1
8,22,1,0,1237,18,3,1
2,19,1,0,650,12,4,1
0,18,2,1,637,14,5,0
4,18,1,0,567,10,4,1
6,21,1,0,1031,17,3,1
3,20,1,0,688,15,3,1
8,22,1,0,1112,16,3,0
0,17,3,0,573,14,5,0
5,21,1,0,946,16,3,0
7,22,1,0,1026,15,3,1
2,19,1,0,758,15,4,1
0,19,2,0,717,13,4,0
0,22,2,0,1015,15,4,0
0,20,2,0,710,15,4,1
2,19,1,2,744,15,4,0
3,19,1,0,811,15,3,0
6,21,1,0,932,16,3,1
0,18,2,0,625,14,5,0
0,21,2,0,869,14,4,1
0,21,2,0,747,13,4,0
6,19,1,0,667,12,3,1
1,18,1,1,501,11,4,0
0,15,2,1,393,10,5,0
3,22,1,0,1377,18,3,1
0,19,2,0,703,14,4,0
6,20,1,0,700,13,3,1
3,19,1,0,948,17,3,1
3,19,1,0,805,14,4,1
0,21,3,0,847,15,4,0
5,17,1,0,500,11,4,1
11,23,1,0,940,13,3,1
7,19,1,0,646,12,3,1
1,19,1,2,609,12,5,0
3,17,1,0,508,12,4,0
2,19,1,0,869,16,4,1
9,21,1,0,897,13,3,1
0,20,2,0,741,14,5,0
0,21,2,2,789,14,4,0
0,16,2,0,538,14,5,0
1,19,1,1,668,14,4,0
1,21,1,1,840,17,4,1
3,21,1,0,1316,19,3,1
2,17,1,0,489,12,4,1
5,20,1,0,693,12,3,1
6,19,1,0,674,13,3,1
0,21,3,0,889,15,5,0
2,22,1,0,1146,16,3,0
2,21,1,0,976,16,4,0
0,16,2,0,466,12,5,0
0,21,2,0,1027,16,4,0
0,14,3,0,265,12,6,0
0,19,2,0,870,16,5,0
6,19,1,0,725,13,3,1
2,18,1,1,555,12,4,1
6,19,1,0,534,11,3,1
3,19,1,0,744,14,4,1
5,18,1,0,620,13,3,1
2,20,1,1,1026,17,4,0
1,19,1,1,829,16,4,0
6,19,1,0,780,14,3,0
10,23,1,0,1208,16,2,1
1,19,2,0,704,12,4,0
0,17,3,2,578,14,6,0
9,20,1,0,672,12,3,1
5,22,1,0,1019,15,3,1
3,17,1,0,518,12,4,0
1,18,1,1,718,14,4,1
0,22,2,0,1313,20,4,0
0,19,2,0,835,16,5,0
6,16,1,0,447,10,3,1
3,19,1,0,768,14,4,0
0,18,2,0,758,16,4,0
0,21,2,0,873,14,4,1
12,24,1,0,885,14,2,1
4,19,1,0,643,14,3,1
0,18,2,0,827,15,4,0
3,20,1,0,971,17,3,0
4,18,1,0,617,13,3,1
0,20,3,0,1041,17,5,0
0,19,3,0,805,16,5,0
1,19,1,3,713,14,4,0
6,23,1,0,1046,15,3,1
4,16,1,0,513,12,4,1
0,20,2,0,1005,18,4,0
0,19,2,1,690,15,5,0
3,19,1,0,835,17,3,1
2,20,1,0,893,16,4,1
1,19,1,1,651,13,4,1
1,18,1,1,714,14,4,0
1,19,1,1,770,14,4,0
3,21,1,0,1062,17,3,1
2,17,1,0,547,13,4,0
0,15,2,0,289,11,5,0
3,21,1,0,916,16,4,1
7,18,1,0,615,11,3,1
0,22,3,0,1080,17,4,1
3,17,1,0,471,10,4,1
1,20,1,2,813,14,4,1
3,19,1,0,811,16,3,1
1,19,2,0,778,14,4,0
0,20,2,0,905,16,4,0
0,18,2,0,617,13,4,0
8,23,1,0,1432,19,3,1
2,19,1,0,726,14,4,1
2,19,1,0,614,13,4,1
1,21,1,1,986,15,4,0
2,19,1,0,668,13,4,1
6,17,1,0,692,14,3,1
0,20,3,0,906,17,4,0
5,20,1,0,564,12,3,1
4,15,1,0,447,11,4,1
2,15,1,0,395,11,5,0
6,17,1,0,514,12,3,1
0,20,2,0,857,14,4,0
1,19,1,1,720,14,4,0
0,20,2,1,750,13,5,0
0,20,2,0,769,14,4,0
0,19,2,1,767,15,5,0
0,18,2,0,735,15,5,0
8,16,1,0,507,12,3,1
5,18,1,0,582,12,3,1
6,20,1,0,813,13,3,1
3,21,1,0,986,17,3,1
0,22,2,1,1439,20,4,0
4,21,1,0,1013,17,3,1
9,22,1,0,805,13,3,0
8,22,1,0,981,16,3,1
7,19,1,0,745,13,3,1
2,20,1,0,763,15,4,0
1,22,1,1,1130,16,3,1
0,20,2,0,713,16,5,0
1,19,1,3,947,17,4,0
0,20,2,0,886,15,4,0
2,18,1,1,677,14,4,1
2,19,1,0,708,16,4,0
2,21,1,0,1131,17,3,0
0,21,2,0,1282,19,4,0
2,20,1,0,858,15,4,1
7,23,1,0,1422,17,3,1
8,18,1,0,730,14,3,1
1,20,2,1,699,14,4,0
5,20,1,0,892,14,3,1
0,19,2,1,900,15,5,0
2,19,1,0,784,16,4,0
1,20,2,0,865,16,4,0
2,18,1,0,646,13,4,1
4,19,1,0,717,15,3,1
1,14,1,2,298,10,5,0
0,17,2,0,614,15,5,0
7,22,1,0,1138,17,3,1
0,19,2,0,522,11,5,1
4,20,1,0,741,14,3,0
8,21,1,0,1069,17,3,1
1,19,1,1,801,14,4,1
0,21,2,1,837,16,4,0
0,18,2,0,690,14,4,0
0,20,2,2,948,16,5,0
3,21,1,0,1180,18,3,1
0,18,2,0,493,11,5,0
0,18,2,1,658,14,5,0
1,21,1,1,1058,16,4,1
1,22,1,1,1102,16,3,1
1,17,1,1,490,11,4,1
4,20,1,0,922,17,3,1
0,19,2,2,834,16,5,0
1,18,2,2,646,15,4,0
0,21,2,1,927,15,4,0
0,19,2,0,722,14,4,1
3,21,1,0,1131,17,3,1
0,21,2,0,924,14,4,0
2,20,1,0,1037,17,4,0
1,20,2,0,790,15,4,0
0,17,2,0,527,13,4,0
0,21,2,0,971,17,4,0
4,16,1,0,432,11,4,1
6,21,1,0,1030,16,3,0
6,19,1,0,711,12,3,1
3,17,1,0,512,13,4,0
0,21,2,0,1099,17,4,1
1,21,1,1,788,13,3,1
1,20,1,1,888,16,4,1
1,20,1,1,781,14,4,0
2,17,1,2,486,12,4,0
2,20,1,0,924,16,4,1
0,17,3,2,592,15,6,0
0,18,2,0,625,12,4,0
0,18,2,0,694,15,4,0
2,22,1,0,1157,16,3,0
1,22,1,1,894,15,3,1
3,20,1,0,981,17,3,0
0,17,3,0,630,15,5,0
1,19,2,2,442,13,5,0
0,20,2,1,761,14,5,0
0,20,2,0,870,15,4,1
1,16,1,2,534,14,4,0
0,20,2,0,822,14,4,0
3,23,1,0,1582,20,3,0
3,21,1,0,846,16,4,1
5,19,1,0,685,13,3,0
4,19,1,0,724,15,4,1
0,21,2,1,822,15,4,1
7,18,1,0,685,13,3,1
0,17,2,2,529,13,6,0
7,24,1,0,1288,18,2,0
3,20,1,0,779,15,4,0
5,21,1,0,1077,16,3,1
1,20,1,2,1105,17,4,0
0,17,3,0,590,13,6,0
3,18,1,0,648,15,4,0
0,19,3,0,851,17,5,0
1,16,1,2,573,14,5,0
2,19,1,0,696,13,4,1
1,22,1,1,1000,16,3,0
1,19,1,2,721,15,4,0
0,21,3,0,1011,17,5,0
1,19,1,1,663,14,4,0
1,17,1,1,479,12,4,0
6,18,1,0,576,12,3,1
0,18,3,0,647,14,5,0
1,16,1,1,417,11,5,0
8,19,1,0,627,12,3,1
0,21,2,0,878,13,4,0
4,20,1,0,908,15,3,1
1,20,1,2,897,16,4,0
0,18,3,0,549,13,5,0
2,17,1,0,503,11,4,1
4,17,1,0,550,13,4,0
0,21,2,0,957,17,4,0
1,20,1,1,633,12,4,1
3,23,1,0,1292,17,3,0
4,16,1,0,460,12,4,1
2,14,1,1,398,12,5,0
8,23,1,0,1342,17,2,1
0,20,2,1,702,15,5,0
4,16,1,0,466,12,4,1
4,17,1,0,550,11,3,1
0,19,2,2,914,18,5,0
0,20,2,0,962,15,4,0
1,18,1,1,698,14,4,0
2,16,1,0,479,12,4,1
2,21,1,0,876,14,3,1
1,20,1,1,873,16,4,0
11,24,1,0,1446,19,2,0
1,19,2,1,678,13,4,1
7,16,1,0,469,10,3,1
1,20,1,2,849,16,4,1
0,20,2,0,903,16,4,0
2,19,1,1,625,13,4,0
4,17,1,0,551,12,4,1
1,20,1,2,792,15,4,0
0,17,2,0,650,15,5,0
0,19,2,0,669,14,4,0
1,18,1,1,657,14,4,0
1,20,2,0,890,16,4,0
0,18,2,1,733,16,5,0
1,17,1,1,497,11,4,1
3,18,1,0,636,13,4,0
2,20,1,0,662,12,4,1
0,18,4,0,718,15,6,0
0,17,3,0,594,14,5,0
2,16,1,0,464,11,4,1
